Pachuca,0.001349965,319581,4,Hidalgo,20.12,-98.76,0.681913869
Pittsburgh,0.001349598,319494,1,Pennsylvania,40.44,-79.98,0.683263467
Koshigaya,0.001340909,317437,2,Saitama,35.89,139.79,0.684604375
Saint Catharines-Niagara,0.001338264,316811,8,Ontario,43.18,-79.24,0.68594264
Coacalco,0.001323877,313405,4,México,19.63,-99.11,0.687266516
Miyazaki,0.001314575,311203,2,Miyazaki,31.91,131.42,0.688581091
Tampico,0.001305282,309003,4,Tamaulipas,22.22,-97.85,0.689886373
General Escobedo,0.001301915,308206,4,Nuevo León,25.82,-100.33,0.691188289
Toledo,0.001296711,306974,1,Ohio,41.66,-83.58,0.692485
Cincinnati,0.00129421,306382,1,Ohio,39.14,-84.51,0.69377921
Celaya,0.001292179,305901,4,Guanajuato,20.52,-100.82,0.695071389
Naha,0.00127061,300795,2,Okinawa,26.21,127.7,0.696341999
Aurora,0.001266322,299780,1,Colorado,39.71,-104.73,0.697608321
Kasugai,0.001261291,298589,2,Aichi,35.24,136.98,0.698869612
Aomori,0.001260468,298394,2,Aomori,40.83,140.74,0.70013008
Otsu,0.001259496,298164,2,Shiga,35.01,135.87,0.701389576
Riverside,0.001256919,297554,1,California,33.94,-117.4,0.702646496
Akashi,0.001255758,297279,2,Hyogo,34.66,134.98,0.703902253
Yokkaichi,0.001249683,295841,2,Mie,34.97,136.64,0.705151937
Morioka,0.001246857,295172,2,Iwate,39.7,141.15,0.706398794
Fukushima,0.001242908,294237,2,Fukushima,37.75,140.47,0.707641702
Bakersfield,0.001230877,291389,1,California,35.36,-119,0.708872579
Victoria,0.001223426,289625,8,British Columbia,48.43,-123.37,0.710096005
Stockton,0.001223236,289580,1,California,37.97,-121.31,0.711319241
Ichihara,0.001197684,283531,2,Chiba,35.53,140.09,0.712516925
Maebashi,0.00119422,282711,2,Gumma,36.39,139.06,0.713711145
Tepic,0.001185269,280592,4,Nayarit,21.5,-104.89,0.714896414
Corpus Christi,0.001184382,280382,1,Texas,27.71,-97.29,0.716080796
Ichinomiya,0.001184166,280331,2,Aichi,35.3,136.8,0.717264962
Newark,0.001183288,280123,1,New Jersey,40.72,-74.17,0.71844825
Buffalo,0.001180897,279557,1,New York,42.89,-78.86,0.719629147
Windsor,0.001174375,278013,8,Ontario,42.3,-83.03,0.720803522
Anchorage,0.001166983,276263,1,Alaska,61.18,-149.19,0.721970504
Hakodate,0.001164731,275730,2,Hokkaido,41.8,140.74,0.723135235
Saint Paul,0.001160769,274792,1,Minnesota,44.95,-93.1,0.724296004
